years,temp
20220825T0000,70.51635
20220825T0100,70.40835
20220825T0200,70.13835
20220825T0300,69.85034
20220825T0400,69.454346
20220825T0500,68.82435
20220825T0600,68.57235
20220825T0700,71.88435
20220825T0800,74.65635
20220825T0900,77.374344
20220825T1000,76.88835
20220825T1100,76.60034
20220825T1200,76.36635
20220825T1300,75.73634
20220825T1400,75.19635
20220825T1500,74.42235
20220825T1600,73.97235
20220825T1700,74.49435
20220825T1800,72.676346
20220825T1900,70.984344
20220825T2000,70.69635
20220825T2100,70.51635
20220825T2200,70.606346
20220825T2300,70.82235
20220826T0000,70.49835
20220826T0100,69.97635
20220826T0200,69.77835
20220826T0300,69.88635
20220826T0400,69.90435
20220826T0500,69.77835
20220826T0600,72.60435
20220826T0700,75.16035
20220826T0800,74.78235
20220826T0900,76.204346
20220826T1000,75.62835
20220826T1100,75.59235
20220826T1200,75.62835
20220826T1300,75.898346
20220826T1400,75.95235
20220826T1500,76.04234
20220826T1600,75.62835
20220826T1700,75.16035
20220826T1800,73.50435
20220826T1900,72.35235
20220826T2000,72.44235
20220826T2100,72.24435
20220826T2200,72.40635
20220826T2300,72.60435
20220827T0000,72.71235
20220827T0100,72.46035
20220827T0200,72.568344
20220827T0300,72.53235
20220827T0400,72.71235
20220827T0500,72.80235
20220827T0600,72.02835
20220827T0700,74.36835
20220827T0800,74.78235
20220827T0900,74.83635
20220827T1000,74.620346
20220827T1100,74.58435
20220827T1200,75.232346
20220827T1300,78.706345
20220827T1400,81.10034
20220827T1500,81.91035
20220827T1600,81.74835
20220827T1700,80.88435
20220827T1800,77.968346
20220827T1900,74.42235
20220827T2000,73.288345
20220827T2100,73.162346
20220827T2200,73.30635
20220827T2300,73.81035
20220828T0000,74.04434
20220828T0100,72.262344
20220828T0200,71.36235
20220828T0300,71.30835
20220828T0400,71.79434
20220828T0500,71.75835
20220828T0600,71.93835
20220828T0700,74.11635
20220828T0800,74.33235
20220828T0900,75.03435
20220828T1000,74.63835
20220828T1100,74.72835
20220828T1200,74.83635
20220828T1300,77.28435
20220828T1400,79.69635
20220828T1500,77.39235
20220828T1600,78.68835
20220828T1700,76.99635
20220828T1800,75.484344
20220828T1900,73.73834
20220828T2000,72.53235
20220828T2100,70.89435
20220828T2200,71.23634
20220828T2300,71.07435
20220829T0000,71.290344
20220829T0100,71.23634
20220829T0200,71.14635
20220829T0300,70.85835
20220829T0400,71.326355
20220829T0500,71.290344
20220829T0600,70.372345
20220829T0700,72.89235
20220829T0800,73.86435
20220829T0900,74.260345
20220829T1000,74.27835
20220829T1100,73.79234
20220829T1200,73.30635
20220829T1300,72.74835
20220829T1400,72.49635
20220829T1500,72.94635
20220829T1600,73.10835
20220829T1700,73.43234
20220829T1800,72.46035
20220829T1900,71.88435
20220829T2000,71.75835
20220829T2100,71.77635
20220829T2200,71.74035
20220829T2300,71.63235
20220830T0000,71.578354
20220830T0100,71.47035
20220830T0200,71.12835
20220830T0300,70.39035
20220830T0400,69.31035
20220830T0500,68.51835
20220830T0600,70.35435
20220830T0700,70.714355
20220830T0800,70.912346
20220830T0900,71.81235
20220830T1000,74.206345
20220830T1100,77.75235
20220830T1200,75.32235
20220830T1300,75.07035
20220830T1400,74.94435
20220830T1500,74.818344
20220830T1600,73.45035
20220830T1700,73.162346
20220830T1800,72.73035
20220830T1900,72.58635
20220830T2000,72.53235
20220830T2100,72.38835
20220830T2200,72.17235
20220830T2300,71.92035
20220831T0000,71.68635
20220831T0100,71.50635
20220831T0200,71.398346
20220831T0300,71.36235
20220831T0400,71.30835
20220831T0500,71.30835
20220831T0600,71.66835
20220831T0700,71.88435
20220831T0800,72.46035
20220831T0900,73.14435
20220831T1000,72.928345
